Id,SalePrice
1461,119999.28751543442
1462,151628.9877301171
1463,180192.52279621075
1464,197526.52127593887
1465,202394.24166592135
1466,170560.12731886905
1467,179840.2776563989
1468,159763.70318090753
1469,196174.82028016855
1470,118855.37253209006
1471,187963.86361654126
1472,98952.37403506672
1473,95213.82313442898
1474,143648.11828980932
1475,107772.73203105174
1476,353510.6587195372
1477,246626.59461327392
1478,299878.0669493876
1479,300129.7430852487
1480,468190.21530826495
1481,321110.6099658017
1482,213617.4679997847
1483,181219.73377115373
1484,160650.48930457566
1485,197426.92979398166
1486,194978.9309943107
1487,335662.97420838365
1488,238783.35673333894
1489,189486.2930380936
1490,239793.1041623158
1491,196904.8522492123
1492,92771.52862234841
1493,190822.27091032814
1494,295638.31106891105
1495,288682.44853803946
1496,234252.66108626904
1497,179477.78572335927
1498,171461.7596214394
1499,165482.20847151265
1500,158206.0125930956
1501,172965.05229757342
1502,145730.4807950287
1503,285692.115921463
1504,241945.15154549567
1505,225729.07965636524
1506,187551.85459447722
1507,244029.0556124836
1508,201494.05602095296
1509,161723.81011756556
1510,142601.44342857733
1511,150701.5380103557
1512,177526.39324060013
1513,153436.64983726275
1514,154172.47389237088
1515,192516.90159970438
1516,155701.7465350809
1517,171745.47940276458
1518,131374.11048831537
1519,209140.7675663762
1520,125487.59071249988
1521,128969.62252551544
1522,179429.22176888178
1523,110048.07044617229
1524,126860.0742870556
1525,117943.51117195061
1526,110396.4807659688
1527,109260.10933876724
1528,140003.28963301802
1529,149821.8071540668
1530,187522.3036654666
1531,106961.79613733821
1532,98715.63343966054
1533,145728.57338592206
1534,127695.2634307062
1535,146808.17836843026
1536,107005.0844076391
1537,61363.247821923585
1538,147836.70618866658
1539,195015.9753467691
1540,98365.4010396516
1541,137985.75186601508
1542,140413.30630599754
1543,178413.45567761498
1544,89090.326053818
1545,118588.29100347408
1546,138909.92292442042
1547,128221.87668352679
1548,143018.56285615472
1549,123978.8869742633
1550,133360.36425573673
1551,106643.12738990292
1552,133393.03210801719
1553,145285.19241267798
1554,116099.20557398608
1555,158668.00604185325
1556,86575.95848343687
1557,105327.6956345983
1558,101928.37436503032
1559,63981.966693987655
1560,134478.52290229534
1561,125913.0862095881
1562,130963.23085900619
1563,117673.51351222835
1564,154235.3399362886
1565,150946.46765506227
1566,239264.57822942993
1567,77766.39333768254
1568,232701.88001008536
1569,124152.52305810337
1570,141759.2589403896
1571,123225.24521359177
1572,140171.38728929052
1573,228624.65626539342
1574,119951.8215077922
1575,229457.34890288656
1576,250156.62054088057
1577,178010.41232182703
1578,150445.80965150407
1579,143485.6569164747
1580,197229.18515790434
1581,156400.82575175588
1582,124565.0511163528
1583,282257.77927825274
1584,216044.9502616566
1585,133889.01392804072
1586,64100.71547677787
1587,107238.57745019792
1588,151754.97953282672
1589,96405.97713173213
1590,133427.87932807935
1591,89614.78147225745
1592,115142.5267552661
1593,126303.98550391808
1594,122655.48305619188
1595,106190.62828297261
1596,214915.47098542776
1597,196029.32014532218
1598,233266.11951082974
1599,166919.70670439152
1600,158604.20846063702
1601,66705.40212549911
1602,118504.60929988329
1603,70949.2387843878
1604,256691.46327508928
1605,241332.32897762707
1606,168584.8739839047
1607,177981.60475875903
1608,216355.67141316863
1609,180696.5747359502
1610,151520.5258662378
1611,137736.21376126498
1612,173310.82344365434
1613,165136.640941397
1614,129986.4849875097
1615,96484.67558687174
1616,79758.73577202899
1617,95933.539237127
1618,125191.26312814666
1619,138738.0722578688
1620,146862.68844596465
1621,138748.07017632623
1622,143574.4296786679
1623,258050.27064923625
1624,208927.5017767495
1625,117868.72171174375
1626,173087.0542649884
1627,192708.5553491366
1628,282393.3361519003
1629,184069.15290629974
1630,342770.15356139874
1631,233032.5841962273
